region,quarter,year,q,dwelling_type,price_index
The whole country,2015K1,2015,1,Total,98.3
The whole country,2015K1,2015,1,Detached houses,98.1
The whole country,2015K1,2015,1,Row houses,98.8
The whole country,2015K1,2015,1,Multi-dwelling,98.3
The whole country,2015K2,2015,2,Total,101.5
The whole country,2015K2,2015,2,Detached houses,102.1
The whole country,2015K2,2015,2,Row houses,101.3
The whole country,2015K2,2015,2,Multi-dwelling,100.3
The whole country,2015K3,2015,3,Total,101.1
The whole country,2015K3,2015,3,Detached houses,101.3
The whole country,2015K3,2015,3,Row houses,100.5
The whole country,2015K3,2015,3,Multi-dwelling,101.2
The whole country,2015K4,2015,4,Total,99.1
The whole country,2015K4,2015,4,Detached houses,98.5
The whole country,2015K4,2015,4,Row houses,99.5
The whole country,2015K4,2015,4,Multi-dwelling,100.3
The whole country,2016K1,2016,1,Total,102.8
The whole country,2016K1,2016,1,Detached houses,102.2
The whole country,2016K1,2016,1,Row houses,103.3
The whole country,2016K1,2016,1,Multi-dwelling,104.2
The whole country,2016K2,2016,2,Total,107.1
The whole country,2016K2,2016,2,Detached houses,106.5
The whole country,2016K2,2016,2,Row houses,106.8
The whole country,2016K2,2016,2,Multi-dwelling,108.7
The whole country,2016K3,2016,3,Total,109.1
The whole country,2016K3,2016,3,Detached houses,106.9
The whole country,2016K3,2016,3,Row houses,109.6
The whole country,2016K3,2016,3,Multi-dwelling,114.0
The whole country,2016K4,2016,4,Total,109.1
The whole country,2016K4,2016,4,Detached houses,106.0
The whole country,2016K4,2016,4,Row houses,109.3
The whole country,2016K4,2016,4,Multi-dwelling,116.2
The whole country,2017K1,2017,1,Total,113.2
The whole country,2017K1,2017,1,Detached houses,109.8
The whole country,2017K1,2017,1,Row houses,113.6
The whole country,2017K1,2017,1,Multi-dwelling,121.0
The whole country,2017K2,2017,2,Total,114.5
The whole country,2017K2,2017,2,Detached houses,112.4
The whole country,2017K2,2017,2,Row houses,114.7
The whole country,2017K2,2017,2,Multi-dwelling,119.2
The whole country,2017K3,2017,3,Total,111.8
The whole country,2017K3,2017,3,Detached houses,110.0
The whole country,2017K3,2017,3,Row houses,112.4
The whole country,2017K3,2017,3,Multi-dwelling,115.5
The whole country,2017K4,2017,4,Total,109.9
The whole country,2017K4,2017,4,Detached houses,108.3
The whole country,2017K4,2017,4,Row houses,110.4
The whole country,2017K4,2017,4,Multi-dwelling,112.7
The whole country,2018K1,2018,1,Total,112.0
The whole country,2018K1,2018,1,Detached houses,110.2
The whole country,2018K1,2018,1,Row houses,112.5
The whole country,2018K1,2018,1,Multi-dwelling,115.4
The whole country,2018K2,2018,2,Total,116.4
The whole country,2018K2,2018,2,Detached houses,115.2
The whole country,2018K2,2018,2,Row houses,116.6
The whole country,2018K2,2018,2,Multi-dwelling,119.2
The whole country,2018K3,2018,3,Total,115.1
The whole country,2018K3,2018,3,Detached houses,113.0
The whole country,2018K3,2018,3,Row houses,115.5
The whole country,2018K3,2018,3,Multi-dwelling,119.3
The whole country,2018K4,2018,4,Total,112.4
The whole country,2018K4,2018,4,Detached houses,109.8
The whole country,2018K4,2018,4,Row houses,113.4
The whole country,2018K4,2018,4,Multi-dwelling,117.4
The whole country,2019K1,2019,1,Total,115.4
The whole country,2019K1,2019,1,Detached houses,113.2
The whole country,2019K1,2019,1,Row houses,115.9
The whole country,2019K1,2019,1,Multi-dwelling,120.0
The whole country,2019K2,2019,2,Total,118.7
The whole country,2019K2,2019,2,Detached houses,117.3
The whole country,2019K2,2019,2,Row houses,118.3
The whole country,2019K2,2019,2,Multi-dwelling,122.3
The whole country,2019K3,2019,3,Total,117.8
